Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
0.071296296,20:53:18,245,245.870347,0.061169,0.167012,0.238173,-999,-999,0.400838,-999,-999,-999,-999,-999,-999,-999,-999,0.68268,-999,-999,0.813936,-999,-999,0.946238,1.007468,1.740311,-999,-999,-999,-999,-999,-999,-999,0.002461,0.003503,0.004092,-999,-999,0.00442,-999,-999,-999,-999,-999,-999,-999,-999,0.000681,-999,-999,0.003364,-999,-999,0.001161,0.002683,0.01816,-999,-999,-999,-999,-999,-999,-999,1.812424,1.181692,1.674469,1.898127,0.847831,-999,lev15,959,Monterey,36.59255,-121.854867,50,30.576298,1.160777,22.6,297.767137,0.165576,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,20:58:18,245,245.873819,0.061155,0.168417,0.239952,-999,-999,0.404648,-999,-999,-999,-999,-999,-999,-999,-999,0.691504,-999,-999,0.823497,-999,-999,0.958337,1.020365,1.749484,-999,-999,-999,-999,-999,-999,-999,0.001595,0.002646,0.004401,-999,-999,0.006019,-999,-999,-999,-999,-999,-999,-999,-999,0.008107,-999,-999,0.009043,-999,-999,0.005523,0.005914,0.014071,-999,-999,-999,-999,-999,-999,-999,1.819724,1.181398,1.680741,1.907932,0.852095,-999,lev15,959,Monterey,36.59255,-121.854867,50,30.986608,1.165728,22.9,297.765999,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:03:18,245,245.877292,0.063135,0.173143,0.246827,-999,-999,0.414668,-999,-999,-999,-999,-999,-999,-999,-999,0.707719,-999,-999,0.841527,-999,-999,0.976122,1.037592,1.749634,-999,-999,-999,-999,-999,-999,-999,0.001114,0.000945,0.00245,-999,-999,0.002392,-999,-999,-999,-999,-999,-999,-999,-999,0.004651,-999,-999,0.005839,-999,-999,0.00926,0.013418,0.018699,-999,-999,-999,-999,-999,-999,-999,1.810799,1.163864,1.674606,1.898926,0.832641,-999,lev15,959,Monterey,36.59255,-121.854867,50,31.432656,1.171227,23.1,297.764862,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:08:18,245,245.880764,0.061754,0.170541,0.241485,-999,-999,0.405998,-999,-999,-999,-999,-999,-999,-999,-999,0.692663,-999,-999,0.823327,-999,-999,0.957344,1.018124,1.760479,-999,-999,-999,-999,-999,-999,-999,0.001678,0.002072,0.003391,-999,-999,0.003605,-999,-999,-999,-999,-999,-999,-999,-999,0.003931,-999,-999,0.00628,-999,-999,0.004599,0.007756,0.009155,-999,-999,-999,-999,-999,-999,-999,1.810743,1.171658,1.672981,1.899547,0.844418,-999,lev15,959,Monterey,36.59255,-121.854867,50,31.912912,1.177287,23.1,297.763725,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:18:18,245,245.887708,0.059059,0.163919,0.232041,-999,-999,0.391191,-999,-999,-999,-999,-999,-999,-999,-999,0.668999,-999,-999,0.794585,-999,-999,0.924549,0.982498,1.749753,-999,-999,-999,-999,-999,-999,-999,0.000939,0.000444,0.00184,-999,-999,0.003672,-999,-999,-999,-999,-999,-999,-999,-999,0.005632,-999,-999,0.007652,-999,-999,0.003862,0.003309,0.007182,-999,-999,-999,-999,-999,-999,-999,1.817699,1.17144,1.677509,1.90878,0.844388,-999,lev15,959,Monterey,36.59255,-121.854867,50,32.969816,1.191141,23,297.76145,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:23:18,245,245.891181,0.058122,0.163347,0.231883,-999,-999,0.391157,-999,-999,-999,-999,-999,-999,-999,-999,0.665885,-999,-999,0.793196,-999,-999,0.915153,0.97254,1.734674,-999,-999,-999,-999,-999,-999,-999,0.001629,0.00348,0.004188,-999,-999,0.008516,-999,-999,-999,-999,-999,-999,-999,-999,0.017814,-999,-999,0.020403,-999,-999,0.028784,0.030362,0.004661,-999,-999,-999,-999,-999,-999,-999,1.81369,1.150283,1.671587,1.901322,0.809806,-999,lev15,959,Monterey,36.59255,-121.854867,50,33.543349,1.198969,22.7,297.760313,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:28:18,245,245.894653,0.057208,0.159206,0.226523,-999,-999,0.383264,-999,-999,-999,-999,-999,-999,-999,-999,0.656006,-999,-999,0.779647,-999,-999,0.905461,0.962068,1.747929,-999,-999,-999,-999,-999,-999,-999,0.000892,0.00118,0.002808,-999,-999,0.003734,-999,-999,-999,-999,-999,-999,-999,-999,0.007652,-999,-999,0.008507,-999,-999,0.012313,0.014174,0.023664,-999,-999,-999,-999,-999,-999,-999,1.824655,1.16668,1.68088,1.916664,0.836111,-999,lev15,959,Monterey,36.59255,-121.854867,50,34.144886,1.20742,22.7,297.759175,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:33:18,245,245.898125,0.058066,0.160242,0.22928,-999,-999,0.387104,-999,-999,-999,-999,-999,-999,-999,-999,0.663204,-999,-999,0.786927,-999,-999,0.919504,0.977129,1.746707,-999,-999,-999,-999,-999,-999,-999,0.001953,0.001941,0.002524,-999,-999,0.006321,-999,-999,-999,-999,-999,-999,-999,-999,0.010682,-999,-999,0.013636,-999,-999,0.018331,0.02035,0.01662,-999,-999,-999,-999,-999,-999,-999,1.821702,1.183623,1.68015,1.914684,0.861617,-999,lev15,959,Monterey,36.59255,-121.854867,50,34.77293,1.216515,22.5,297.758038,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:38:18,245,245.901597,0.059732,0.169542,0.242408,-999,-999,0.411303,-999,-999,-999,-999,-999,-999,-999,-999,0.702459,-999,-999,0.834186,-999,-999,0.968008,1.027143,1.749779,-999,-999,-999,-999,-999,-999,-999,0.001085,0.001698,0.002659,-999,-999,0.004297,-999,-999,-999,-999,-999,-999,-999,-999,0.006641,-999,-999,0.008429,-999,-999,0.009234,0.0098,0.011498,-999,-999,-999,-999,-999,-999,-999,1.823687,1.160804,1.673845,1.917547,0.827806,-999,lev15,959,Monterey,36.59255,-121.854867,50,35.426021,1.226277,22.4,297.756901,0.165577,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
0.071296296,21:43:18,245,245.905069,0.059008,0.167878,0.239929,-999,-999,0.407142,-999,-999,-999,-999,-999,-999,-999,-999,0.694624,-999,-999,0.826199,-999,-999,0.953792,1.012879,1.762091,-999,-999,-999,-999,-999,-999,-999,0.001065,0.002718,0.003989,-999,-999,0.006279,-999,-999,-999,-999,-999,-999,-999,-999,0.00697,-999,-999,0.010431,-999,-999,0.007004,0.007978,0.01424,-999,-999,-999,-999,-999,-999,-999,1.82376,1.147207,1.674267,1.915801,0.809589,-999,lev15,959,Monterey,36.59255,-121.854867,50,36.102751,1.236728,22.3,297.755763,0.165578,0.237962963,9,1.6389,1.0201,0.869,-999,-999,0.6751,-999,-999,-999,-999,-999,-999,-999,-999,0.4996,-999,-999,0.4399,-999,-999,0.3794,0.3409,0.9365,-999,-999,-999,-999,-999,-999,-999
